longitude,latitude
30.51702,50.46335
30.517148,50.46319
30.517302,50.463039
30.517456,50.462888
30.51761,50.462738
30.517759,50.462585
30.517872,50.462421
30.517946,50.462248
30.518028,50.462076
30.518108,50.461903
30.518187,50.461731
30.518265,50.461558
30.51836,50.46139
30.518608,50.461309
30.51887,50.461241
30.519131,50.461172
30.519392,50.461103
30.519653,50.461034
30.519917,50.460971
30.520179,50.460904
30.520439,50.460834
30.520699,50.460763
30.520953,50.460686
30.521166,50.460792
30.521371,50.460916
30.521571,50.461043
30.521775,50.461053
30.521974,50.460925
30.522172,50.460797
30.522369,50.460668
30.522567,50.46054
30.522764,50.460411
30.522962,50.460283
30.523162,50.460156
30.523359,50.460026
30.523555,50.459897
30.523752,50.459768
30.523948,50.459639
30.524145,50.459509
30.524345,50.459383
30.524543,50.459255
30.52474,50.459126
30.524936,50.458996
30.525136,50.458869
30.525333,50.45874
30.525529,50.45861
30.525723,50.45848
30.525917,50.458349
30.526109,50.458217
30.526296,50.458083
30.526469,50.45794
30.526642,50.457798
30.526813,50.457655
30.526983,50.457511
30.527147,50.457365
30.527313,50.457219
30.52748,50.457074
30.527627,50.456921
30.527764,50.456763
30.527894,50.456604
30.528,50.456437
30.528063,50.456262
30.528066,50.456083
30.528004,50.455908
30.5279,50.455742
30.527774,50.455581
30.52768,50.455412
30.527613,50.455237
30.527569,50.45506
30.52755,50.454881
30.52755,50.454701
30.52756,50.454521
30.527595,50.454343
30.527627,50.454164
30.527665,50.453986
30.527703,50.453807
30.527741,50.453629
30.527783,50.453451
30.527829,50.453274
30.527874,50.453096
30.527919,50.452919
30.527732,50.452784
30.527545,50.45265
30.527359,50.452514
30.527177,50.452376
30.526992,50.452241
30.526806,50.452105
30.52662,50.45197
30.526433,50.451835
30.526247,50.4517
30.526063,50.451563
30.525875,50.451429
30.525689,50.451294
30.525508,50.451156
30.525326,50.451018
30.52514,50.450883
30.524954,50.450747
30.524768,50.450612
30.52458,50.450477
30.524393,50.450343
30.524207,50.450207
30.524021,50.450072
30.523835,50.449937
30.523649,50.449802
30.523462,50.449666
30.523279,50.449529
30.523114,50.449384
30.522955,50.449235
30.522814,50.449079
30.522676,50.448922
30.522549,50.448761
30.522435,50.448597
30.522328,50.44843
30.522235,50.448261
30.522153,50.448089
30.522079,50.447915
30.522013,50.44774
30.521956,50.447564
30.521898,50.447388
30.521841,50.447212
30.521779,50.447036
30.521722,50.44686
30.521665,50.446684
30.521607,50.446508
30.521549,50.446332
30.52149,50.446156
30.521432,50.44598
30.521374,50.445804
30.521316,50.445628
30.521258,50.445452
30.5212,50.445276
30.521142,50.4451
30.521085,50.444924
30.521022,50.444748
30.520963,50.444573
